PULocationID,zone_name,borough,total_rides,avg_distance,avg_fare,safety_index
1,Newark Airport,EWR,7,0.02428571428571429,99.42857142857143,0.000419639110365086
3,Allerton/Pelham Gardens,Bronx,1,0.0,78.0,0.0
4,Alphabet City,Manhattan,1082,2.84460258780037,15.86460258780037,0.075604979717443
6,Arrochar/Fort Wadsworth,Staten Island,10,0.178,3.35,0.000629458665547629
7,Astoria,Queens,137,3.189197080291971,18.15255474452555,0.00951181983494195
8,Astoria Park,Queens,1,0.0,40.0,0.0
10,Baisley Park,Queens,31,11.474193548387097,53.274193548387096,0.00209819555182543
12,Battery Park,Manhattan,6,2.6333333333333333,14.550000000000002,0.0003496992586375717
13,Battery Park City,Manhattan,99,3.8278787878787877,23.060606060606062,0.006854105469296405
14,Bay Ridge,Brooklyn,21,4.855238095238095,24.666666666666668,0.0013987970345502867
15,Bay Terrace/Fort Totten,Queens,1,0.1,3.0,0.0
16,Bayside,Queens,3,3.486666666666667,66.39999999999999,0.00013987970345502866
17,Bedford,Brooklyn,25,4.1256,29.78,0.001678556441460344
19,Bellerose,Queens,3,2.4466666666666668,28.8,0.00013987970345502866
20,Belmont,Bronx,3,5.2,29.266666666666666,0.00013987970345502866
21,Bensonhurst East,Brooklyn,1,4.1,23.5,0.0
22,Bensonhurst West,Brooklyn,1,0.0,3.0,0.0
23,Bloomfield/Emerson Hill,Staten Island,8,3.415,58.525000000000006,0.0004895789620926003
24,Bloomingdale,Manhattan,185,2.601567567567568,14.511513513513513,0.012868932717862639
25,Boerum Hill,Brooklyn,66,3.9084848484848482,20.319696969696967,0.004546090362288432
26,Borough Park,Brooklyn,5,2.386,22.96,0.00027975940691005733
28,Briarwood/Jamaica Hills,Queens,19,8.52421052631579,48.13157894736842,0.001258917331095258
29,Brighton Beach,Brooklyn,2,0.0,12.25,6.993985172751433e-05
32,Bronxdale,Bronx,9,1.7977777777777777,15.244444444444444,0.0005595188138201147
33,Brooklyn Heights,Brooklyn,37,4.250810810810811,22.93783783783784,0.002517834662190516
34,Brooklyn Navy Yard,Brooklyn,1,3.14,18.4,0.0
35,Brownsville,Brooklyn,2,6.985,27.95,6.993985172751433e-05
36,Bushwick North,Brooklyn,39,3.2748717948717947,21.815384615384612,0.002657714365645545
37,Bushwick South,Brooklyn,49,3.645918367346939,22.794897959183675,0.003357112882920688
38,Cambria Heights,Queens,1,1.63,8.6,0.0
39,Canarsie,Brooklyn,6,6.420000000000001,27.5,0.0003496992586375717
40,Carroll Gardens,Brooklyn,12,2.765833333333333,18.95,0.0007693383690026577
41,Central Harlem,Manhattan,282,2.486950354609929,15.335460992907803,0.01965309833543153
42,Central Harlem North,Manhattan,115,1.8186086956521739,14.011304347826087,0.007973143096936634
43,Central Park,Manhattan,447,2.6233109619686803,14.57261744966443,0.031193173870471394
45,Chinatown,Manhattan,318,3.5589937106918237,18.166666666666668,0.022170932997622045
47,Claremont/Bathgate,Bronx,5,1.884,3.04,0.00027975940691005733
48,Clinton East,Manhattan,7363,3.0988319978269727,16.1386079043868,0.5148971884179605
49,Clinton Hill,Brooklyn,30,2.478666666666667,17.03666666666667,0.002028255700097916
50,Clinton West,Manhattan,1133,3.2698587819947043,17.081412180052958,0.07917191215554623
52,Cobble Hill,Brooklyn,14,2.8507142857142855,14.542857142857143,0.0009092180724576864
53,College Point,Queens,2,7.075,44.85,6.993985172751433e-05
54,Columbia Street,Brooklyn,4,3.375,15.6,0.000209819555182543
55,Coney Island,Brooklyn,6,7.1000000000000005,45.300000000000004,0.0003496992586375717
56,Corona,Queens,11,6.443636363636363,45.5,0.0006993985172751433
60,Crotona Park East,Bronx,1,25.84,100.0,0.0
61,Crown Heights North,Brooklyn,21,2.2457142857142856,23.764285714285716,0.0013987970345502867
62,Crown Heights South,Brooklyn,7,0.8457142857142858,21.014285714285712,0.000419639110365086
63,Cypress Hills,Brooklyn,1,2.53,14.2,0.0
64,Douglaston,Queens,5,0.78,31.26,0.00027975940691005733
65,Downtown Brooklyn/MetroTech,Brooklyn,74,4.100810810810811,21.098783783783784,0.005105609176108547
66,DUMBO/Vinegar Hill,Brooklyn,16,6.210625,26.5,0.001049097775912715
67,Dyker Heights,Brooklyn,1,3.15,18.4,0.0
68,East Chelsea,Manhattan,3807,2.9180824796427633,15.8645390070922,0.26619107567491956
69,East Concourse/Concourse Village,Bronx,13,0.9207692307692308,46.80384615384616,0.000839278220730172
70,East Elmhurst,Queens,440,9.266522727272728,37.35159090909091,0.030703594908378793
71,East Flatbush/Farragut,Brooklyn,6,1.7349999999999997,22.416666666666668,0.0003496992586375717
72,East Flatbush/Remsen Village,Brooklyn,4,6.815,29.85,0.000209819555182543
74,East Harlem North,Manhattan,268,2.7107835820895523,14.383731343283582,0.01867394041124633
75,East Harlem South,Manhattan,416,2.4896153846153846,14.3671875,0.02902503846691845
76,East New York,Brooklyn,10,4.547,23.82,0.000629458665547629
77,East New York/Pennsylvania Avenue,Brooklyn,2,4.85,22.7,6.993985172751433e-05
78,East Tremont,Bronx,3,0.0,1.0,0.00013987970345502866
79,East Village,Manhattan,14299,2.803752010630114,15.085328344639484,1.0
80,East Williamsburg,Brooklyn,116,3.8994827586206893,22.75344827586207,0.008043082948664149
81,Eastchester,Bronx,2,2.9,41.75,6.993985172751433e-05
82,Elmhurst,Queens,27,2.6803703703703707,23.52962962962963,0.0018184361449153728
83,Elmhurst/Maspeth,Queens,10,2.234,26.51,0.000629458665547629
85,Erasmus,Brooklyn,6,1.1166666666666667,25.983333333333334,0.0003496992586375717
86,Far Rockaway,Queens,3,7.62,42.666666666666664,0.00013987970345502866
87,Financial District North,Manhattan,662,4.555135951661631,22.61344410876133,0.04623024199188698
88,Financial District South,Manhattan,288,4.748020833333333,21.946250000000003,0.020072737445796615
89,Flatbush/Ditmas Park,Brooklyn,19,5.032631578947369,34.83421052631579,0.001258917331095258
90,Flatiron,Manhattan,3466,2.842792844777842,15.200620311598383,0.24234158623583718
91,Flatlands,Brooklyn,13,7.498461538461539,56.361538461538466,0.000839278220730172
92,Flushing,Queens,5,0.0,35.0,0.00027975940691005733
93,Flushing Meadows-Corona Park,Queens,51,9.57921568627451,56.15882352941176,0.003496992586375717
94,Fordham South,Bronx,5,2.18,22.44,0.00027975940691005733
95,Forest Hills,Queens,12,1.0941666666666667,22.758333333333336,0.0007693383690026577
96,Forest Park/Highland Park,Queens,2,1.9649999999999999,11.05,6.993985172751433e-05
97,Fort Greene,Brooklyn,84,4.167976190476191,20.661904761904765,0.00580500769338369
100,Garment District,Manhattan,2163,3.1217290799815074,16.40217290799815,0.151209959434886
102,Glendale,Queens,1,0.0,25.0,0.0
106,Gowanus,Brooklyn,8,6.49125,28.987499999999997,0.0004895789620926003
107,Gramercy,Manhattan,4671,2.572425604795547,13.876788696210662,0.32661910756749196
108,Gravesend,Brooklyn,1,2.6,19.5,0.0
112,Greenpoint,Brooklyn,152,3.93796052631579,19.463749999999997,0.010560917610854665
